"itemtype","count(ky)"
"acart",49
"acbk",14489357
"accas",158956
"accd",6794629
"accdrom",1937
"acdisk",106
"acdvd",11376669
"aceq",1381
"acfold",27042
"ackit",886
"acmap",108
"acmus",71124
"acpam",52
"acper",231
"acpost",44
"acrec",2648
"acslide",22
"acunkn",4
"acvhs",733654
"acvid",385
"ahmfm",1
"alvhs",6577
"arbk",8596
"arcas",2
"arcd",182
"arcdrom",10
"ardvd",1
"arkit",5
"armap",4
"armfc",33
"armfm",44
"armus",17
"arper",366
"arrec",1
"arunkn",8
"arvhs",17
"arweb",1
"bcbk",45323
"bccas",4144
"bccd",12208
"bccdrom",491
"bcdvd",16118
"bckit",5712
"bcvhs",3926
"blvhs",330
"dcillb",136241
"dcilll",1
"drtest",5
"jcbk",8425552
"jccas",54504
"jccd",597894
"jccdrom",4826
"jcdvd",2265505
"jckit",82111
"jcmus",1592
"jcrec",10
"jcvhs",242255
"jlvhs",223
"jrbk",223
"jrcd",5
"jrkit",2
"jrmus",2
"jrrec",16
"ucfold",91893
"ucunkn",282
"ucunknj",6662
