"itemtype","count(ky)"
"acart",51
"acbk",19319912
"accas",159034
"accd",8620539
"accdrom",2021
"acdisk",151
"acdvd",15343124
"aceq",2078
"acfold",33396
"ackit",945
"acmap",146
"acmus",91410
"acpam",56
"acper",241
"acpost",49
"acrec",3501
"acslide",22
"acunkn",4
"acvhs",733793
"acvid",387
"ahbk",63
"ahmfm",1
"alaptop",62
"alvhs",6580
"arbk",10117
"arcas",2
"arcd",201
"arcdrom",10
"ardvd",1
"arkit",5
"armap",5
"armfc",36
"armfm",48
"armus",20
"arper",471
"arrec",1
"arunkn",8
"arvhs",17
"arweb",1
"bcbk",59227
"bccas",4149
"bccd",15699
"bccdrom",491
"bcdvd",22713
"bckit",6066
"bcvhs",3948
"blvhs",330
"dcillb",145593
"dcilll",1
"drtest",58
"jcbk",12003079
"jccas",54658
"jccd",814772
"jccdrom",4874
"jcdvd",2987013
"jckit",90378
"jcmus",1856
"jcrec",10
"jcvhs",242255
"jlvhs",223
"jrbk",258
"jrcd",5
"jrkit",2
"jrmus",2
"jrrec",16
"ucfold",124441
"ucunkn",315
"ucunknj",6669
